Accession	Requested_species	NCBI_organism	NCBI_accepted_species	Phylum	Class	Order	Family	Genus	Taxonomy_source
KT270928.1	Impatiens balsamina	Impatiens balsamina	Impatiens balsamina	Tracheophyta	Magnoliopsida	Ericales	Balsaminaceae	Impatiens	BOLD_GENUS_BACKBONE
KT270929.1	Impatiens balsamina	Impatiens balsamina	Impatiens balsamina	Tracheophyta	Magnoliopsida	Ericales	Balsaminaceae	Impatiens	BOLD_GENUS_BACKBONE
KT270930.1	Impatiens balsamina	Impatiens balsamina	Impatiens balsamina	Tracheophyta	Magnoliopsida	Ericales	Balsaminaceae	Impatiens	BOLD_GENUS_BACKBONE
KT270931.1	Impatiens balsamina	Impatiens balsamina	Impatiens balsamina	Tracheophyta	Magnoliopsida	Ericales	Balsaminaceae	Impatiens	BOLD_GENUS_BACKBONE
KT582059.1	Impatiens balsamina	Impatiens balsamina	Impatiens balsamina	Tracheophyta	Magnoliopsida	Ericales	Balsaminaceae	Impatiens	BOLD_GENUS_BACKBONE
KT582060.1	Impatiens balsamina	Impatiens balsamina	Impatiens balsamina	Tracheophyta	Magnoliopsida	Ericales	Balsaminaceae	Impatiens	BOLD_GENUS_BACKBONE
KT582061.1	Impatiens balsamina	Impatiens balsamina	Impatiens balsamina	Tracheophyta	Magnoliopsida	Ericales	Balsaminaceae	Impatiens	BOLD_GENUS_BACKBONE
KT582062.1	Impatiens balsamina	Impatiens balsamina	Impatiens balsamina	Tracheophyta	Magnoliopsida	Ericales	Balsaminaceae	Impatiens	BOLD_GENUS_BACKBONE
KT898294.1	Impatiens balsamina	Impatiens balsamina	Impatiens balsamina	Tracheophyta	Magnoliopsida	Ericales	Balsaminaceae	Impatiens	BOLD_GENUS_BACKBONE
KU182885.1	Impatiens balsamina	Impatiens balsamina	Impatiens balsamina	Tracheophyta	Magnoliopsida	Ericales	Balsaminaceae	Impatiens	BOLD_GENUS_BACKBONE
KX261210.1	Impatiens balsamina	Impatiens balsamina var. micrantha	Impatiens balsamina	Tracheophyta	Magnoliopsida	Ericales	Balsaminaceae	Impatiens	BOLD_GENUS_BACKBONE
KY082768.1	Impatiens balsamina	Impatiens balsamina	Impatiens balsamina	Tracheophyta	Magnoliopsida	Ericales	Balsaminaceae	Impatiens	BOLD_GENUS_BACKBONE
AF228394.1	Inula britannica	Pentanema britannica	Pentanema britannica	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Pentanema	NCBI_LINEAGE
GQ434511.1	Inula britannica	Pentanema britannica	Pentanema britannica	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Pentanema	NCBI_LINEAGE
KJ405407.1	Inula britannica	Pentanema britannica	Pentanema britannica	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Pentanema	NCBI_LINEAGE
KJ405408.1	Inula britannica	Pentanema britannica	Pentanema britannica	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Pentanema	NCBI_LINEAGE
KJ405409.1	Inula britannica	Pentanema britannica	Pentanema britannica	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Pentanema	NCBI_LINEAGE
AF228398.1	Inula crithmoides	Limbarda crithmoides	Limbarda crithmoides	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Limbarda	NCBI_LINEAGE
KY397491.1	Inula ensifolia	Pentanema ensifolium	Pentanema ensifolium	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Pentanema	NCBI_LINEAGE
AF130830.1	Iris germanica	Iris germanica	Iris germanica	Tracheophyta	Liliopsida	Asparagales	Iridaceae	Iris	BOLD_GENUS_BACKBONE
KP006782.1	Iris germanica	Iris germanica	Iris germanica	Tracheophyta	Liliopsida	Asparagales	Iridaceae	Iris	BOLD_GENUS_BACKBONE
KP006783.1	Iris germanica	Iris germanica	Iris germanica	Tracheophyta	Liliopsida	Asparagales	Iridaceae	Iris	BOLD_GENUS_BACKBONE
KP006784.1	Iris germanica	Iris germanica	Iris germanica	Tracheophyta	Liliopsida	Asparagales	Iridaceae	Iris	BOLD_GENUS_BACKBONE
KP006785.1	Iris germanica	Iris germanica	Iris germanica	Tracheophyta	Liliopsida	Asparagales	Iridaceae	Iris	BOLD_GENUS_BACKBONE
KP006786.1	Iris germanica	Iris germanica	Iris germanica	Tracheophyta	Liliopsida	Asparagales	Iridaceae	Iris	BOLD_GENUS_BACKBONE
EF437120.1	Isopyrum thalictroides	Isopyrum thalictroides	Isopyrum thalictroides	Streptophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Isopyrum	NCBI_LINEAGE
AY737479.1	Isothecium myosuroides	Pseudisothecium myosuroides	Pseudisothecium myosuroides	Streptophyta	Bryopsida	Hypnales	Lembophyllaceae	Pseudisothecium	NCBI_LINEAGE
DQ294866.1	Isothecium myosuroides	Pseudisothecium myosuroides	Pseudisothecium myosuroides	Streptophyta	Bryopsida	Hypnales	Lembophyllaceae	Pseudisothecium	NCBI_LINEAGE
DQ294922.1	Isothecium myosuroides	Pseudisothecium myosuroides	Pseudisothecium myosuroides	Streptophyta	Bryopsida	Hypnales	Lembophyllaceae	Pseudisothecium	NCBI_LINEAGE
DQ294924.1	Isothecium myosuroides	Pseudisothecium myosuroides	Pseudisothecium myosuroides	Streptophyta	Bryopsida	Hypnales	Lembophyllaceae	Pseudisothecium	NCBI_LINEAGE
DQ294927.1	Isothecium myosuroides	Pseudisothecium myosuroides	Pseudisothecium myosuroides	Streptophyta	Bryopsida	Hypnales	Lembophyllaceae	Pseudisothecium	NCBI_LINEAGE
MK327347.1	Isothecium myosuroides	Pseudisothecium myosuroides	Pseudisothecium myosuroides	Streptophyta	Bryopsida	Hypnales	Lembophyllaceae	Pseudisothecium	NCBI_LINEAGE
KY215730.1	Iva xanthiifolia	Iva xanthiifolia	Iva xanthiifolia	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Iva	NCBI_LINEAGE
OK244305.1	Jasminum fruticans	Chrysojasminum fruticans	Chrysojasminum fruticans	Streptophyta	Magnoliopsida	Lamiales	Oleaceae	Chrysojasminum	NCBI_LINEAGE
OK244354.1	Jasminum officinale	Jasminum officinale	Jasminum officinale	Streptophyta	Magnoliopsida	Lamiales	Oleaceae	Jasminum	NCBI_LINEAGE
KJ884136.1	Jovibarba arenaria	Jovibarba globifera subsp. arenaria	Jovibarba globifera	Streptophyta	Magnoliopsida	Saxifragales	Crassulaceae	Jovibarba	NCBI_LINEAGE
KJ884137.1	Jovibarba arenaria	Jovibarba globifera subsp. arenaria	Jovibarba globifera	Streptophyta	Magnoliopsida	Saxifragales	Crassulaceae	Jovibarba	NCBI_LINEAGE
AF179572.1	Juglans cinerea	Juglans cinerea	Juglans cinerea	Tracheophyta	Magnoliopsida	Fagales	Juglandaceae	Juglans	BOLD_GENUS_BACKBONE
AF303813.1	Juglans cinerea	Juglans cinerea	Juglans cinerea	Tracheophyta	Magnoliopsida	Fagales	Juglandaceae	Juglans	BOLD_GENUS_BACKBONE
AY727770.1	Juncus trifidus	Oreojuncus trifidus	Oreojuncus trifidus	Streptophyta	Magnoliopsida	Poales	Juncaceae	Oreojuncus	NCBI_LINEAGE
KJ206414.1	Jungermannia pumila	Jungermannia pumila	Jungermannia pumila	Marchantiophyta	Jungermanniopsida	Jungermanniales	Jungermanniaceae	Jungermannia	BOLD_GENUS_BACKBONE
AY780404.1	Jurinea mollis	Jurinea mollis	Jurinea mollis	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Jurinea	NCBI_LINEAGE
EU434018.1	Klebsormidium flaccidum	Klebsormidium flaccidum	Klebsormidium flaccidum	Streptophyta	Klebsormidiophyceae	Klebsormidiales	Klebsormidiaceae	Klebsormidium	NCBI_LINEAGE
EU434019.1	Klebsormidium flaccidum	Klebsormidium flaccidum	Klebsormidium flaccidum	Streptophyta	Klebsormidiophyceae	Klebsormidiales	Klebsormidiaceae	Klebsormidium	NCBI_LINEAGE
EU434024.1	Klebsormidium flaccidum	Klebsormidium flaccidum	Klebsormidium flaccidum	Streptophyta	Klebsormidiophyceae	Klebsormidiales	Klebsormidiaceae	Klebsormidium	NCBI_LINEAGE
HQ654196.1	Klebsormidium flaccidum	Klebsormidium flaccidum	Klebsormidium flaccidum	Streptophyta	Klebsormidiophyceae	Klebsormidiales	Klebsormidiaceae	Klebsormidium	NCBI_LINEAGE
HQ654197.1	Klebsormidium flaccidum	Klebsormidium flaccidum	Klebsormidium flaccidum	Streptophyta	Klebsormidiophyceae	Klebsormidiales	Klebsormidiaceae	Klebsormidium	NCBI_LINEAGE
HQ654198.1	Klebsormidium flaccidum	Klebsormidium flaccidum	Klebsormidium flaccidum	Streptophyta	Klebsormidiophyceae	Klebsormidiales	Klebsormidiaceae	Klebsormidium	NCBI_LINEAGE
HQ654199.1	Klebsormidium flaccidum	Klebsormidium flaccidum	Klebsormidium flaccidum	Streptophyta	Klebsormidiophyceae	Klebsormidiales	Klebsormidiaceae	Klebsormidium	NCBI_LINEAGE
HQ654200.1	Klebsormidium flaccidum	Klebsormidium flaccidum	Klebsormidium flaccidum	Streptophyta	Klebsormidiophyceae	Klebsormidiales	Klebsormidiaceae	Klebsormidium	NCBI_LINEAGE
HQ654201.1	Klebsormidium flaccidum	Klebsormidium flaccidum	Klebsormidium flaccidum	Streptophyta	Klebsormidiophyceae	Klebsormidiales	Klebsormidiaceae	Klebsormidium	NCBI_LINEAGE
HQ654202.1	Klebsormidium flaccidum	Klebsormidium flaccidum	Klebsormidium flaccidum	Streptophyta	Klebsormidiophyceae	Klebsormidiales	Klebsormidiaceae	Klebsormidium	NCBI_LINEAGE
HQ654203.1	Klebsormidium flaccidum	Klebsormidium flaccidum	Klebsormidium flaccidum	Streptophyta	Klebsormidiophyceae	Klebsormidiales	Klebsormidiaceae	Klebsormidium	NCBI_LINEAGE
MK255310.1	Klebsormidium flaccidum	Klebsormidium flaccidum	Klebsormidium flaccidum	Streptophyta	Klebsormidiophyceae	Klebsormidiales	Klebsormidiaceae	Klebsormidium	NCBI_LINEAGE
HQ654220.1	Klebsormidium subtile	Klebsormidium subtile	Klebsormidium subtile	Streptophyta	Klebsormidiophyceae	Klebsormidiales	Klebsormidiaceae	Klebsormidium	NCBI_LINEAGE
HQ654221.1	Klebsormidium subtile	Klebsormidium subtile	Klebsormidium subtile	Streptophyta	Klebsormidiophyceae	Klebsormidiales	Klebsormidiaceae	Klebsormidium	NCBI_LINEAGE
KF993563.1	Knautia longifolia	Knautia longifolia	Knautia longifolia	Tracheophyta	Magnoliopsida	Dipsacales	Caprifoliaceae	Knautia	BOLD_GENUS_BACKBONE
KF993564.1	Knautia longifolia	Knautia longifolia	Knautia longifolia	Tracheophyta	Magnoliopsida	Dipsacales	Caprifoliaceae	Knautia	BOLD_GENUS_BACKBONE
KF993565.1	Knautia longifolia	Knautia longifolia	Knautia longifolia	Tracheophyta	Magnoliopsida	Dipsacales	Caprifoliaceae	Knautia	BOLD_GENUS_BACKBONE
KF993566.1	Knautia longifolia	Knautia longifolia	Knautia longifolia	Tracheophyta	Magnoliopsida	Dipsacales	Caprifoliaceae	Knautia	BOLD_GENUS_BACKBONE
KF993567.1	Knautia longifolia	Knautia longifolia	Knautia longifolia	Tracheophyta	Magnoliopsida	Dipsacales	Caprifoliaceae	Knautia	BOLD_GENUS_BACKBONE
KX873118.1	Koeleria lobata	Koeleria lobata	Koeleria lobata	Tracheophyta	Liliopsida	Poales	Poaceae	Koeleria	BOLD_GENUS_BACKBONE
KU883511.1	Koeleria pyramidata	Koeleria pyramidata	Koeleria pyramidata	Tracheophyta	Liliopsida	Poales	Poaceae	Koeleria	BOLD_GENUS_BACKBONE
Z96911.1	Koeleria pyramidata	Koeleria pyramidata	Koeleria pyramidata	Tracheophyta	Liliopsida	Poales	Poaceae	Koeleria	BOLD_GENUS_BACKBONE
Z96913.1	Koeleria pyramidata	Koeleria pyramidata	Koeleria pyramidata	Tracheophyta	Liliopsida	Poales	Poaceae	Koeleria	BOLD_GENUS_BACKBONE
AF201689.1	Lagerstroemia indica	Lagerstroemia indica	Lagerstroemia indica	Streptophyta	Magnoliopsida	Myrtales	Lythraceae	Lagerstroemia	NCBI_LINEAGE
MK161398.1	Lagerstroemia indica	Lagerstroemia indica	Lagerstroemia indica	Streptophyta	Magnoliopsida	Myrtales	Lythraceae	Lagerstroemia	NCBI_LINEAGE
AF041344.1	Larix kaempferi	Larix kaempferi	Larix kaempferi	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
AY523442.1	Larix kaempferi	Larix kaempferi	Larix kaempferi	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
AY523443.1	Larix kaempferi	Larix kaempferi	Larix kaempferi	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
AY523444.1	Larix kaempferi	Larix kaempferi	Larix kaempferi	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
AY523445.1	Larix kaempferi	Larix kaempferi	Larix kaempferi	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
AY523446.1	Larix kaempferi	Larix kaempferi	Larix kaempferi	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
AY523447.1	Larix kaempferi	Larix kaempferi	Larix kaempferi	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
AF041345.1	Larix sibirica	Larix sibirica	Larix sibirica	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
AY523450.1	Larix sibirica	Larix sibirica	Larix sibirica	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
AY523451.1	Larix sibirica	Larix sibirica	Larix sibirica	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
AY523452.1	Larix sibirica	Larix sibirica	Larix sibirica	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
AY523453.1	Larix sibirica	Larix sibirica	Larix sibirica	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
AY603173.1	Larix sibirica	Larix sibirica	Larix sibirica	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
AY603174.1	Larix sibirica	Larix sibirica	Larix sibirica	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
AY603175.1	Larix sibirica	Larix sibirica	Larix sibirica	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
AY603176.1	Larix sibirica	Larix sibirica	Larix sibirica	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
AY603177.1	Larix sibirica	Larix sibirica	Larix sibirica	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
AY603178.1	Larix sibirica	Larix sibirica	Larix sibirica	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
AY603179.1	Larix sibirica	Larix sibirica	Larix sibirica	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
AY603180.1	Larix sibirica	Larix sibirica	Larix sibirica	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
AY603181.1	Larix sibirica	Larix sibirica	Larix sibirica	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
EU441958.1	Larix sibirica	Larix sibirica	Larix sibirica	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
EU441965.1	Larix sibirica	Larix sibirica	Larix sibirica	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
EU441966.1	Larix sibirica	Larix sibirica	Larix sibirica	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
EU441967.1	Larix sibirica	Larix sibirica	Larix sibirica	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
EU441968.1	Larix sibirica	Larix sibirica	Larix sibirica	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
EU441969.1	Larix sibirica	Larix sibirica	Larix sibirica	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
EU441970.1	Larix sibirica	Larix sibirica	Larix sibirica	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
EU441971.1	Larix sibirica	Larix sibirica	Larix sibirica	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
EU441972.1	Larix sibirica	Larix sibirica	Larix sibirica	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
EU441973.1	Larix sibirica	Larix sibirica	Larix sibirica	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
EU441974.1	Larix sibirica	Larix sibirica	Larix sibirica	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
EU441975.1	Larix sibirica	Larix sibirica	Larix sibirica	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
EU441976.1	Larix sibirica	Larix sibirica	Larix sibirica	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
EU441977.1	Larix sibirica	Larix sibirica	Larix sibirica	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
EU441979.1	Larix sibirica	Larix sibirica	Larix sibirica	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
EU441983.1	Larix sibirica	Larix sibirica	Larix sibirica	Tracheophyta	Pinopsida	Pinales	Pinaceae	Larix	BOLD_GENUS_BACKBONE
AF009123.2	Laser trilobum	Laser trilobum	Laser trilobum	Streptophyta	Magnoliopsida	Apiales	Apiaceae	Laser	NCBI_LINEAGE
KF160678.1	Laser trilobum	Laser trilobum	Laser trilobum	Streptophyta	Magnoliopsida	Apiales	Apiaceae	Laser	NCBI_LINEAGE
KT347638.1	Laser trilobum	Laser trilobum	Laser trilobum	Streptophyta	Magnoliopsida	Apiales	Apiaceae	Laser	NCBI_LINEAGE
FJ415153.1	Laserpitium archangelica	Laser archangelica	Laser archangelica	Streptophyta	Magnoliopsida	Apiales	Apiaceae	Laser	NCBI_LINEAGE
DQ435249.1	Laserpitium peucedanoides	Bunium fontanesii	Bunium fontanesii	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Bunium	BOLD_GENUS_BACKBONE
DQ435259.1	Laserpitium peucedanoides	Bunium fontanesii	Bunium fontanesii	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Bunium	BOLD_GENUS_BACKBONE
DQ443725.1	Laserpitium peucedanoides	Bunium fontanesii	Bunium fontanesii	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Bunium	BOLD_GENUS_BACKBONE
FJ415133.1	Laserpitium peucedanoides	Laserpitium peucedanoides	Laserpitium peucedanoides	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Laserpitium	BOLD_GENUS_BACKBONE
DQ311967.1	Lathyrus laevigatus	Lathyrus laevigatus	Lathyrus laevigatus	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lathyrus	BOLD_GENUS_BACKBONE
JX506093.1	Lathyrus laevigatus	Lathyrus laevigatus	Lathyrus laevigatus	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lathyrus	BOLD_GENUS_BACKBONE
JX506113.1	Lathyrus pannonicus	Lathyrus pannonicus	Lathyrus pannonicus	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lathyrus	BOLD_GENUS_BACKBONE
JX506137.1	Lathyrus setifolius	Lathyrus setifolius	Lathyrus setifolius	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lathyrus	BOLD_GENUS_BACKBONE
JX506138.1	Lathyrus setifolius	Lathyrus setifolius	Lathyrus setifolius	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lathyrus	BOLD_GENUS_BACKBONE
JX506153.1	Lathyrus venetus	Lathyrus venetus	Lathyrus venetus	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lathyrus	BOLD_GENUS_BACKBONE
AY331478.1	Legousia speculum-veneris	Legousia speculum-veneris	Legousia speculum-veneris	Tracheophyta	Magnoliopsida	Asterales	Campanulaceae	Legousia	BOLD_GENUS_BACKBONE
DQ289654.1	Lembotropis nigricans	Cytisus nigricans	Cytisus nigricans	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Cytisus	BOLD_GENUS_BACKBONE
EF457700.1	Lembotropis nigricans	Cytisus nigricans	Cytisus nigricans	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Cytisus	BOLD_GENUS_BACKBONE
Z72245.1	Lembotropis nigricans	Cytisus nigricans	Cytisus nigricans	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Cytisus	BOLD_GENUS_BACKBONE
KJ400887.1	Lemna minor	Lemna minor	Lemna minor	Tracheophyta	Liliopsida	Alismatales	Araceae	Lemna	BOLD_GENUS_BACKBONE
KJ400888.1	Lemna minor	Lemna minor	Lemna minor	Tracheophyta	Liliopsida	Alismatales	Araceae	Lemna	BOLD_GENUS_BACKBONE
KJ400892.1	Lemna minuta	Lemna minuta	Lemna minuta	Tracheophyta	Liliopsida	Alismatales	Araceae	Lemna	BOLD_GENUS_BACKBONE
KJ400893.1	Lemna minuta	Lemna minuta	Lemna minuta	Tracheophyta	Liliopsida	Alismatales	Araceae	Lemna	BOLD_GENUS_BACKBONE
AF335222.1	Lens culinaris	Lens culinaris	Lens culinaris	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lens	BOLD_GENUS_BACKBONE
AF432169.1	Lens culinaris	Lens culinaris subsp. tomentosus	Lens culinaris	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lens	BOLD_GENUS_BACKBONE
JX506157.1	Lens culinaris	Lens culinaris	Lens culinaris	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lens	BOLD_GENUS_BACKBONE
PX387166.1	Lens culinaris	Lens culinaris	Lens culinaris	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lens	BOLD_GENUS_BACKBONE
GQ494881.1	Leontodon autumnalis	Scorzoneroides autumnalis	Scorzoneroides autumnalis	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Scorzoneroides	NCBI_LINEAGE
GQ494882.1	Leontodon autumnalis	Scorzoneroides autumnalis	Scorzoneroides autumnalis	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Scorzoneroides	NCBI_LINEAGE
KT249821.1	Leontodon autumnalis	Scorzoneroides autumnalis	Scorzoneroides autumnalis	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Scorzoneroides	NCBI_LINEAGE
KT249822.1	Leontodon autumnalis	Scorzoneroides autumnalis	Scorzoneroides autumnalis	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Scorzoneroides	NCBI_LINEAGE
KT249823.1	Leontodon autumnalis	Scorzoneroides autumnalis	Scorzoneroides autumnalis	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Scorzoneroides	NCBI_LINEAGE
GQ494899.1	Leontodon montanus	Scorzoneroides montana	Scorzoneroides montana	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Scorzoneroides	NCBI_LINEAGE
GQ494900.1	Leontodon montanus	Scorzoneroides montana	Scorzoneroides montana	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Scorzoneroides	NCBI_LINEAGE
AM991722.1	Lepidium graminifolium	Lepidium graminifolium	Lepidium graminifolium	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Lepidium	BOLD_GENUS_BACKBONE
AF516155.1	Lescuraea plicata	Lescuraea plicata	Lescuraea plicata	Bryophyta	Bryopsida	Hypnales	Pseudoleskeaceae	Lescuraea	BOLD_GENUS_BACKBONE
KT862261.1	Lewinskya acuminata	Lewinskya acuminata	Lewinskya acuminata	Bryophyta	Bryopsida	Orthotrichales	Orthotrichaceae	Lewinskya	BOLD_GENUS_BACKBONE
KT862262.1	Lewinskya acuminata	Lewinskya acuminata	Lewinskya acuminata	Bryophyta	Bryopsida	Orthotrichales	Orthotrichaceae	Lewinskya	BOLD_GENUS_BACKBONE
KT862263.1	Lewinskya acuminata	Lewinskya acuminata	Lewinskya acuminata	Bryophyta	Bryopsida	Orthotrichales	Orthotrichaceae	Lewinskya	BOLD_GENUS_BACKBONE
KT862264.1	Lewinskya acuminata	Lewinskya acuminata	Lewinskya acuminata	Bryophyta	Bryopsida	Orthotrichales	Orthotrichaceae	Lewinskya	BOLD_GENUS_BACKBONE
KT862265.1	Lewinskya acuminata	Lewinskya acuminata	Lewinskya acuminata	Bryophyta	Bryopsida	Orthotrichales	Orthotrichaceae	Lewinskya	BOLD_GENUS_BACKBONE
KT862266.1	Lewinskya acuminata	Lewinskya acuminata	Lewinskya acuminata	Bryophyta	Bryopsida	Orthotrichales	Orthotrichaceae	Lewinskya	BOLD_GENUS_BACKBONE
KT862267.1	Lewinskya acuminata	Lewinskya acuminata	Lewinskya acuminata	Bryophyta	Bryopsida	Orthotrichales	Orthotrichaceae	Lewinskya	BOLD_GENUS_BACKBONE
KT862268.1	Lewinskya acuminata	Lewinskya acuminata	Lewinskya acuminata	Bryophyta	Bryopsida	Orthotrichales	Orthotrichaceae	Lewinskya	BOLD_GENUS_BACKBONE
KT862269.1	Lewinskya acuminata	Lewinskya acuminata	Lewinskya acuminata	Bryophyta	Bryopsida	Orthotrichales	Orthotrichaceae	Lewinskya	BOLD_GENUS_BACKBONE
KT862270.1	Lewinskya acuminata	Lewinskya acuminata	Lewinskya acuminata	Bryophyta	Bryopsida	Orthotrichales	Orthotrichaceae	Lewinskya	BOLD_GENUS_BACKBONE
KT862271.1	Lewinskya acuminata	Lewinskya acuminata	Lewinskya acuminata	Bryophyta	Bryopsida	Orthotrichales	Orthotrichaceae	Lewinskya	BOLD_GENUS_BACKBONE
KT862272.1	Lewinskya acuminata	Lewinskya acuminata	Lewinskya acuminata	Bryophyta	Bryopsida	Orthotrichales	Orthotrichaceae	Lewinskya	BOLD_GENUS_BACKBONE
KT862273.1	Lewinskya acuminata	Lewinskya acuminata	Lewinskya acuminata	Bryophyta	Bryopsida	Orthotrichales	Orthotrichaceae	Lewinskya	BOLD_GENUS_BACKBONE
KT862274.1	Lewinskya acuminata	Lewinskya acuminata	Lewinskya acuminata	Bryophyta	Bryopsida	Orthotrichales	Orthotrichaceae	Lewinskya	BOLD_GENUS_BACKBONE
KT862275.1	Lewinskya acuminata	Lewinskya acuminata	Lewinskya acuminata	Bryophyta	Bryopsida	Orthotrichales	Orthotrichaceae	Lewinskya	BOLD_GENUS_BACKBONE
JX481133.1	Linaria angustissima	Linaria angustissima	Linaria angustissima	Tracheophyta	Magnoliopsida	Lamiales	Plantaginaceae	Linaria	BOLD_GENUS_BACKBONE
EU307117.1	Linum usitatissimum	Linum usitatissimum	Linum usitatissimum	Tracheophyta	Magnoliopsida	Malpighiales	Linaceae	Linum	BOLD_GENUS_BACKBONE
MF096454.1	Linum usitatissimum	Linum usitatissimum	Linum usitatissimum	Tracheophyta	Magnoliopsida	Malpighiales	Linaceae	Linum	BOLD_GENUS_BACKBONE
